pub_date	title	venue	excerpt	citation	url_slug
 2018	 Tempo-Lexical Context Driven Word Embedding for Cross-Session Search Task Extraction	 NAACL-HLT	 Procheta Sen and Debasis Ganguly and Gareth J. F. Jones	 pages 283--292		
 2018	 Procrastination is the Thief of Time: Evaluating the Effectiveness of Proactive Search Systems	 SIGIR	 Procheta Sen and Debasis Ganguly and Gareth J. F. Jones	 pages 1157--1160		
 2018	 Contextual Word Embedding: A Case Study in Clustering Tweets about Emergency Situations	 WWW (Companion Volume)	 Debasis Ganguly and Kripabandhu Ghosh	 pages 73--74		
 2018	 WWW'18 Workshop on Exploitation of Social Media for Emergency Relief and Preparedness: Chairs' Welcome \& Organization	 WWW (Companion Volume)	 Marie-Francine Moens and Gareth J. F. Jones and Saptarshi Ghosh and Debasis Ganguly and Tanmoy Chakraborty and Kripabandhu Ghosh	 pages 1609--1611		
 2017	 Evaluation of Personalised Information Retrieval at CLEF 2017 (PIR-CLEF): Towards a Reproducible Evaluation Framework for PIR	 CLEF (Working Notes)	 Gabriella Pasi and Gareth J. F. Jones and Stefania Marrara and Camilla Sanvitto and Debasis Ganguly and Procheta Sen	 series CEUR Workshop Proceedings		
 2017	 Overview of the CLEF 2017 Personalised Information Retrieval Pilot Lab (PIR-CLEF 2017)	 CLEF	 Gabriella Pasi and Gareth J. F. Jones and Stefania Marrara and Camilla Sanvitto and Debasis Ganguly and Procheta Sen	 series Lecture Notes in Computer Science		
 2016	 Word Vector Compositionality based Relevance Feedback using Kernel Density Estimation	 CIKM	 Dwaipayan Roy and Debasis Ganguly and Mandar Mitra and Gareth J. F. Jones	 pages 1281--1290		
 2016	 A Gamified Approach to Relevance Judgement	 CLEF	 Debasis Ganguly and Gareth J. F. Jones	 series Lecture Notes in Computer Science		
 2016	 Using WordNet for Query Expansion: ADAPT @ FIRE 2016 Microblog Track	 FIRE (Working Notes)	 Wei Li and Debasis Ganguly and Gareth J. F. Jones	 series CEUR Workshop Proceedings		
 2016	 Joint Estimation of Topics and Hashtag Relevance in Cross-Lingual Tweets	 ICTIR	 Procheta Sen and Debasis Ganguly and Gareth J. F. Jones	 pages 291--294		
 2016	 Nearest Neighbour based Transformation Functions for Text Classification: A Case Study with StackOverflow	 ICTIR	 Piyush Arora and Debasis Ganguly and Gareth J. F. Jones	 pages 299--302		
